y,C_l,aoa,span
0.0018146221592594727,5.849222979260055,5,265
0.009053229416186338,5.8492088931444135,5,265
0.023451136234157257,5.849109091867124,5,265
0.04485059613311889,5.848793211390932,5,265
0.07301715215229318,5.848075819506073,5,265
0.10764220560970336,5.846722192717191,5,265
0.1483463971739118,5.8444535178422585,5,265
0.1946837632042413,5.840949678906818,5,265
0.24614662182174651,5.835847982654978,5,265
0.3021711351781183,5.828736459084299,5,265
0.3621434869811411,5.819140542296007,5,265
0.4254066075944398,5.806501853923426,5,265
0.49126737302991585,5.790147396296157,5,265
0.5590041989592069,5.769246666138894,5,265
0.6278749465425897,5.742752974964513,5,265
0.6971250534574103,5.709323546339402,5,265
0.765995801040793,5.667210678615616,5,265
0.833732626970084,5.614113374597246,5,265
0.8995933924055601,5.546975462562994,5,265
0.9628565130188587,5.461712904850947,5,265
1.0228288648218817,5.352851218588292,5,265
1.0788533781782534,5.2130572461984865,5,265
1.1303162367957584,5.032565372437167,5,265
1.176653602826088,4.798541371025145,5,265
1.2173577943902965,4.494524715776507,5,265
1.2519828478477066,4.100292151502959,5,265
1.280149403866881,3.592890262684765,5,265
1.3015488637658428,2.9504798997945487,5,265
1.3159467705838137,2.1637735931599793,5,265
1.3231853778407405,1.296205244409741,5,265
1.325,0.0,5,265
