y,C_l,aoa,span
0.001835165051628448,5.8533793810047445,5,268
0.009155718805803542,5.853365446259157,5,268
0.02371662079529866,5.853266724162376,5,268
0.045358338730852314,5.85295426260487,5,268
0.07384376142194178,5.8522446285048755,5,268
0.10886079661660568,5.8509056143453515,5,268
0.15002579034946553,5.848661373107552,5,268
0.1968877303348554,5.845195157388584,5,268
0.24893318735180406,5.840148028961929,5,268
0.3055919404820215,5.833112184158123,5,268
0.36624322456960684,5.823617704824009,5,268
0.4302225314539996,5.811111457232183,5,268
0.49682889046044326,5.794926441756277,5,268
0.5653325483813867,5.774239093875708,5,268
0.6349829648053361,5.7480108024076815,5,268
0.705017035194664,5.714908176222854,5,268
0.7746674516186133,5.673194274636197,5,268
0.8431711095395568,5.620580068082956,5,268
0.9097774685460005,5.554021913772623,5,268
0.9737567754303931,5.46944733265442,5,268
1.0344080595179785,5.361389344168094,5,268
1.091066812648196,5.222512574966548,5,268
1.1431122696651443,5.043029822213425,5,268
1.1899742096505346,4.810050617744292,5,268
1.2311392033833943,4.50700151847354,5,268
1.2661562385780583,4.1134623461348925,5,268
1.2946416612691478,3.60617451890022,5,268
1.3162833792047015,2.9628886199349105,5,268
1.3308442811941967,2.173893777811873,5,268
1.3381648349483717,1.3026434319819582,5,268
1.34,0.0,5,268
